t_epoch,x_m,y_m,Pxx,Pxy,Pyx,Pyy
1.772659629666666746e+09,1.237421360219758126e-01,-6.504514894824987437e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629683333397e+09,2.032510406928630942e-01,-6.503859059184087243e+01,3.995736957063097857e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.003739365600888411e-06
1.772659629700000048e+09,2.896471493435653355e-01,-6.503884145341172029e+01,3.925140897751028889e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.933001920978963891e-06
1.772659629716666698e+09,3.507905614117785564e-01,-6.503991491864179864e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629733333349e+09,4.039763502325509070e-01,-6.505150346584635201e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629750000000e+09,4.565578401730258640e-01,-6.505083431889478618e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629766666651e+09,4.715293707088693553e-01,-6.505883000805677341e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629783333302e+09,4.876945485543216496e-01,-6.506778199875920166e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629799999952e+09,4.837163190142690361e-01,-6.507839153588344061e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629816666603e+09,4.687929208148672866e-01,-6.506990097859804223e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629833333254e+09,4.684464613739782179e-01,-6.507552803088934468e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629849999905e+09,4.717142685885302167e-01,-6.507937070788801748e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629866666555e+09,4.624951125581419076e-01,-6.506960260586456002e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629883333445e+09,4.963925174470287249e-01,-6.506405684576513693e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
